,COMPANY,DATE,PRICE OF LAST TRANSACTION,MAX,MIN,AVERAGE PRICE,% PERCENT,QUANTITY,REVENUE IN BEST DENARS,TOTAL REVENUE IN DENARS
0,ADIN,2024-10-21,1650.0,1650.0,1650.0,1650.0,-294.0,208.0,343200.0,343200.0
1,ADIN,2024-10-18,1700.0,1700.0,1700.0,1700.0,0.0,2.0,3400.0,3400.0
2,ADIN,2024-10-10,1700.0,1700.0,1700.0,1700.0,-286.0,200.0,340000.0,340000.0
3,ADIN,2024-10-09,1750.0,1750.0,1750.0,1750.0,-278.0,16.0,28000.0,28000.0
4,ADIN,2024-10-02,1800.0,1800.0,1800.0,1800.0,0.0,100.0,180000.0,180000.0
5,ADIN,2024-09-24,1800.0,1800.0,1800.0,1800.0,0.0,16.0,28800.0,28800.0
6,ADIN,2024-09-23,1800.0,1800.0,1800.0,1800.0,169.0,94.0,169200.0,169200.0
7,ADIN,2024-09-20,1770.0,1770.0,1770.0,1770.0,412.0,135.0,238950.0,238950.0
8,ADIN,2024-09-19,1700.0,1700.0,1700.0,1700.0,328.0,200.0,340000.0,340000.0
9,ADIN,2024-09-18,1646.0,1646.0,1646.0,1646.0,0.0,10.0,16460.0,16460.0
10,ADIN,2024-09-17,1646.0,1646.0,1646.0,1646.0,0.0,265.0,436190.0,436190.0
11,ADIN,2024-09-13,1646.0,1646.0,1646.0,1646.0,288.0,120.0,197520.0,197520.0
12,ADIN,2024-08-26,1600.0,1600.0,1600.0,1600.0,-62.0,150.0,240000.0,240000.0
13,ADIN,2024-08-23,1610.0,1610.0,1610.0,1610.0,-237.0,83.0,133630.0,133630.0
14,ADIN,2024-08-14,1649.0,1649.0,1649.0,1649.0,957.0,15.0,24735.0,24735.0
15,ADIN,2024-08-13,1505.0,1505.0,1505.0,1505.0,33.0,100.0,150500.0,150500.0
16,ADIN,2024-08-07,1500.0,1500.0,1500.0,1500.0,0.0,200.0,300000.0,300000.0
17,ADIN,2024-07-30,1500.0,1500.0,1500.0,1500.0,0.0,240.0,360000.0,360000.0
18,ADIN,2024-07-29,1500.0,1500.0,1500.0,1500.0,0.0,600.0,900000.0,900000.0
19,ADIN,2024-07-12,1500.0,1500.0,1500.0,1500.0,0.0,368.0,552000.0,552000.0
