COMPANY,DATE,PRICE OF LAST TRANSACTION,MAX,MIN,AVERAGE PRICE,% PERCENT,QUANTITY,REVENUE IN BEST DENARS,TOTAL REVENUE IN DENARS
ADIN,21.10.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94",208,343.200,343.200
ADIN,18.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","0,00",2,3.400,3.400
ADIN,10.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","-2,86",200,340.000,340.000
ADIN,09.10.2024,"1.750,00","1.750,00","1.750,00","1.750,00","-2,78",16,28.000,28.000
ADIN,02.10.2024,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",100,180.000,180.000
ADIN,24.9.2024,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",16,28.800,28.800
ADIN,23.9.2024,"1.800,00","1.800,00","1.800,00","1.800,00","1,69",94,169.200,169.200
ADIN,20.9.2024,"1.770,00","1.770,00","1.770,00","1.770,00","4,12",135,238.950,238.950
ADIN,19.9.2024,"1.700,00","1.700,00","1.700,00","1.700,00","3,28",200,340.000,340.000
ADIN,18.9.2024,"1.646,00","1.646,00","1.646,00","1.646,00","0,00",10,16.460,16.460
ADIN,17.9.2024,"1.646,00","1.646,00","1.646,00","1.646,00","0,00",265,436.190,436.190
ADIN,13.9.2024,"1.646,00","1.646,00","1.646,00","1.646,00","2,88",120,197.520,197.520
ADIN,26.8.2024,"1.600,00","1.600,00","1.600,00","1.600,00","-0,62",150,240.000,240.000
ADIN,23.8.2024,"1.610,00","1.610,00","1.610,00","1.610,00","-2,37",83,133.630,133.630
ADIN,14.8.2024,"1.649,00","1.649,00","1.649,00","1.649,00","9,57",15,24.735,24.735
ADIN,13.8.2024,"1.505,00","1.505,00","1.505,00","1.505,00","0,33",100,150.500,150.500
ADIN,07.8.2024,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",200,300.000,300.000
ADIN,30.7.2024,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",240,360.000,360.000
ADIN,29.7.2024,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",600,900.000,900.000
ADIN,12.7.2024,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",368,552.000,552.000
ADIN,10.7.2024,"1.500,00","1.500,00","1.500,00","1.500,00","-6,25",600,900.000,900.000
ADIN,27.6.2024,"1.600,00","1.600,00","1.600,00","1.600,00","-5,33",200,320.000,320.000
ADIN,29.5.2024,"1.690,00","1.690,00","1.690,00","1.690,00","0,12",50,84.500,84.500
ADIN,17.5.2024,"1.688,00","1.688,00","1.688,00","1.688,00","-0,53",76,128.288,128.288
ADIN,14.5.2024,"1.697,00","1.697,00","1.697,00","1.697,00","41,42",50,84.850,84.850
ADIN,05.2.2024,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",153,183.600,183.600
ADIN,31.1.2024,"1.200,00","1.200,00","1.200,00","1.200,00","20,00",295,354.000,354.000
ADIN,19.12.2023,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",100,100.000,100.000
ADIN,29.11.2023,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",600,600.000,600.000
ADIN,13.11.2023,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",260,260.000,260.000
ADIN,09.11.2023,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",200,200.000,200.000
ADIN,05.10.2023,"1.000,00","1.000,00","1.000,00","1.000,00","15,61",100,100.000,100.000
ADIN,11.7.2023,"865,00","865,00","865,00","865,00","1,76",70,60.550,60.550
ADIN,06.7.2023,"850,00","850,00","850,00","850,00","17,73",100,85.000,85.000
ADIN,14.2.2023,"722,00","722,00","722,00","722,00","-14,05",505,364.610,364.610
ADIN,20.1.2023,"840,00","840,00","840,00","840,00","0,00",95,79.800,79.800
ADIN,23.12.2022,"840,00","840,00","840,00","840,00","2,94",120,100.800,100.800
ADIN,16.12.2022,"816,00","816,00","816,00","816,00","0,12",400,326.400,326.400
ADIN,23.11.2022,"815,00","815,00","815,00","815,00","0,00",200,163.000,163.000
ADIN,22.7.2022,"815,00","815,00","815,00","815,00","1,24",10,8.150,8.150
ADIN,31.5.2022,"805,00","805,00","805,00","805,00","2,94",50,40.250,40.250
ADIN,12.5.2022,"782,00","782,00","782,00","782,00","2,89",10,7.820,7.820
ADIN,18.3.2022,"760,00","760,00","760,00","760,00","1,20",550,418.000,418.000
ADIN,16.3.2022,"751,00","751,00","751,00","751,00","0,13",1.100,826.100,826.100
ADIN,07.3.2022,"750,00","750,00","750,00","750,00","0,00",100,75.000,75.000
ADIN,24.2.2022,"750,00","750,00","750,00","750,00","2,46",120,90.000,90.000
ADIN,21.2.2022,"732,00","732,00","732,00","732,00","2,95",30,21.960,21.960
ADIN,17.1.2022,"711,00","711,00","711,00","711,00","0,99",30,21.330,21.330
ADIN,13.1.2022,"704,00","704,00","704,00","704,00","0,57",25,17.600,17.600
ADIN,17.11.2021,"700,00","700,00","700,00","700,00","0,00",50,35.000,35.000
ADIN,27.10.2021,"700,00","700,00","700,00","700,00","0,00",61,42.700,42.700
ADIN,22.10.2021,"700,00","700,00","700,00","700,00","0,00",30,21.000,21.000
ADIN,27.9.2021,"700,00","700,00","700,00","700,00","2,79",61,42.700,42.700
ADIN,21.9.2021,"681,00","681,00","681,00","681,00","4,45",50,34.050,34.050
ADIN,27.7.2021,"652,00","652,00","652,00","652,00","-1,36",50,32.600,32.600
ADIN,30.6.2021,"661,00","661,00","661,00","661,00","4,42",50,33.050,33.050
ADIN,14.5.2021,"633,00","633,00","633,00","633,00","-15,60",100,63.300,63.300
ADIN,05.5.2021,"750,00","750,00","750,00","750,00","0,00",50,37.500,37.500
ADIN,28.4.2021,"750,00","750,00","750,00","750,00","0,00",120,90.000,90.000
ADIN,23.4.2021,"750,00","750,00","750,00","750,00","0,00",50,37.500,37.500
ADIN,25.3.2021,"750,00","750,00","750,00","750,00","0,00",450,337.500,337.500
ADIN,12.3.2021,"750,00","750,00","750,00","750,00","0,00",50,37.500,37.500
ADIN,01.3.2021,"750,00","750,00","750,00","750,00","2,60",170,127.500,127.500
ADIN,23.2.2021,"731,00","731,00","731,00","731,00","4,28",168,122.808,122.808
ADIN,16.2.2021,"701,00","701,00","701,00","701,00","1,59",50,35.050,35.050
ADIN,21.1.2021,"690,00","690,00","690,00","690,00","0,00",129,89.010,89.010
ADIN,20.1.2021,"690,00","690,00","690,00","690,00","0,00",129,89.010,89.010
ADIN,18.1.2021,"690,00","690,00","690,00","690,00","1,62",40,27.600,27.600
ADIN,05.1.2021,"679,00","679,00","679,00","679,00","0,00",22,14.938,14.938
ADIN,14.12.2020,"679,00","679,00","679,00","679,00","-3,00",25,16.975,16.975
ADIN,26.11.2020,"700,00","700,00","700,00","700,00","0,00",70,49.000,49.000
ADIN,24.11.2020,"700,00","700,00","700,00","700,00","0,14",360,252.000,252.000
ADIN,23.11.2020,"699,00","699,00","699,00","699,00","-0,14",200,139.800,139.800
ADIN,18.11.2020,"700,00","700,00","700,00","700,00","0,00",340,238.000,238.000
ADIN,16.11.2020,"700,00","700,00","700,00","700,00","0,00",300,210.000,210.000
ADIN,13.11.2020,"700,00","700,00","700,00","700,00","5,11",185,129.500,129.500
ADIN,12.11.2020,"666,00","666,00","666,00","666,00","7,77",15,9.990,9.990
ADIN,05.8.2020,"618,00","618,00","618,00","618,00","0,00",2.400,1.483.200,1.483.200
ADIN,30.7.2020,"618,00","618,00","618,00","618,00","0,00",200,123.600,123.600
ADIN,06.7.2020,"618,00","618,00","618,00","618,00","0,00",100,61.800,61.800
ADIN,02.7.2020,"618,00","618,00","618,00","618,00","0,00",150,92.700,92.700
